Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,7885612.84,256218.19,763068.60,3609,0,3886,0,9789,0,423,0,23,0.7974750339437829,4572
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,9022440.93,218712.21,89550.00,2779,0,989,0,5794,0,1018,0,53,0.9663445468516448,9024
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,2662446.21,84956.75,13530.00,1281,0,3940,0,3703,0,120,0,7,0.8145456533814586,1392
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,7164500.97,3583248.20,3014730.00,2646,0,859,0,6013,0,917,0,23,0.9612751646319366,8928
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,3405736.10,1114096.00,2096805.00,857,0,478,0,2119,0,391,0,30,0.4508648956563461,7224
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,3296095.25,832720.73,1995401.00,1109,0,376,0,2650,0,460,0,13,0.9621509154165363,4008
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,841602.57,891852.41,342364.84,637,0,230,0,1574,0,287,0,25,0.9565558638292385,3300
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,945099.10,904194.66,555956.80,713,0,256,0,1680,0,339,0,25,0.956956269316083,3864
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,433644.98,247659.57,495259.27,326,0,100,0,837,0,140,0,22,0.9232682057504419,1740
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,14977475.45,0.00,0,4433,0,1381,0,10370,0,1591,51,0.9798048622722983,15972
